#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;
aquagame;The Aquatic Games Starring James Pond and the Aquabats (Euro, USA);Final Burn Alpha;;1992;Electronic Arts;;;;;;0;;;;;;
aquagame;The Aquatic Games Starring James Pond and the Aquabats (Euro, USA);Final Burn Alpha;;1992;Electronic Arts;;;;;;;;;;;;
aquajack;Aquajack (World);Final Burn Alpha;;1990;Taito Corporation Japan;Shooter / Driving (chase view);;;;;0;;;;;;
aquajack;Aquajack (World);Final Burn Alpha;;1990;Taito Corporation Japan;Shooter / Driving (chase view);;;;;;;;;;;
aquajack;Aquajack (World);Final Burn Alpha;;1990;Taito Corporation Japan;Shooter / Driving (chase view);;;;;0;;;;;;
aquajack;Aquajack (World);Final Burn Alpha;;1990;Taito Corporation Japan;Shooter / Driving (chase view);;;;;;;;;;;
aquajackj;Aquajack (Japan);Final Burn Alpha;;1990;Taito Corporation;Shooter / Driving (chase view);;;;;0;;;;;;
aquajackj;Aquajack (Japan);Final Burn Alpha;;1990;Taito Corporation;Shooter / Driving (chase view);;;;;;;;;;;
aquajackj;Aquajack (Japan);Final Burn Alpha;;1990;Taito Corporation;Shooter / Driving (chase view);;;;;0;;;;;;
aquajackj;Aquajack (Japan);Final Burn Alpha;;1990;Taito Corporation;Shooter / Driving (chase view);;;;;;;;;;;
aquajacku;Aquajack (US);Final Burn Alpha;;1990;Taito Corporation;Shooter / Driving (chase view);;;;;0;;;;;;
aquajacku;Aquajack (US);Final Burn Alpha;;1990;Taito Corporation;Shooter / Driving (chase view);;;;;;;;;;;
aquajacku;Aquajack (US);Final Burn Alpha;;1990;Taito Corporation;Shooter / Driving (chase view);;;;;0;;;;;;
aquajacku;Aquajack (US);Final Burn Alpha;;1990;Taito Corporation;Shooter / Driving (chase view);;;;;;;;;;;
ar;Action Replay (Euro);Final Burn Alpha;;199?;unknown;;;;;;0;;;;;;
ar;Action Replay (Euro);Final Burn Alpha;;199?;unknown;;;;;;;;;;;;
ar;Action Replay (Euro);Final Burn Alpha;;199?;unknown;;;;;;0;;;;;;
ar;Action Replay (Euro);Final Burn Alpha;;199?;unknown;;;;;;;;;;;;
arbalest;Arbalester [Imperfect inputs];Final Burn Alpha;;1989;Seta;Shooter / Flying Vertical;;;;;0;;;;;;
arbalest;Arbalester [Imperfect inputs];Final Burn Alpha;;1989;Seta;Shooter / Flying Vertical;;;;;;;;;;;
